Processes: 324 total, 4 running, 320 sleeping, 1215 threads 
2016/10/29 21:09:03
Load Avg: 2.73, 2.53, 2.37 
CPU usage: 28.98% user, 23.18% sys, 47.82% idle 
SharedLibs: 93M resident, 23M data, 6520K linkedit.
MemRegions: 68085 total, 504M resident, 38M private, 688M shared.
PhysMem: 3950M used (1190M wired), 145M unused.
VM: 5078G vsize, 618M framework vsize, 593712(0) swapins, 671578(0) swapouts.
Networks: packets: 1512128/1915M in, 651230/60M out.
Disks: 847076/18G read, 309812/18G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG  CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER USER            #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
16497  top              0.0  00:00.17 1/1   0   14+    1452K+ 0B    0B     16497 16453 running  *0[1+]      0.00000 0.00000    0   1357+    64+    159755+   79877+    1399+     82104+    122+      5+      0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16494  com.docker.front 0.0  00:00.01 5     0   28+    8192B+ 0B    1276K+ 16493 16493 sleeping *0[1+]      0.00000 0.00000    501 2013+    101+   38+       15+       356+      95+       132+      0       0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
16493  com.docker.front 0.0  00:00.01 5     0   31+    648K+  0B    684K+  16493 11027 sleeping *0[1+]      0.00000 0.00000    501 2159+    117+   45+       16+       383+      111+      119+      4+      0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
16453  tmdiagnose       0.0  00:00.39 7     6   67+    3792K+ 0B    1088K+ 16452 16452 sleeping *0[1+]      0.00000 0.00000    0   9238+    191+   832+      103+      57964+    1570+     18372+    9+      0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16452  sudo             0.0  00:00.01 1     0   20+    20K+   0B    864K+  16452 13511 sleeping *0[1+]      0.00000 0.00000    0   2587+    158+   91+       47+       794+      187+      129+      0       0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16394  tcpdump          0.0  00:00.04 1     0   16+    68K+   0B    2488K+ 16379 16393 sleeping *0[1+]      0.00000 0.00000    0   1422+    123+   47+       16+       457+      95+       201+      84+     0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16393  sudo             0.0  00:00.01 1     0   20+    20K+   0B    860K+  16379 16379 sleeping *0[1+]      0.00000 0.00000    0   2636+    168+   91+       47+       789+      187+      84+       0       0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16387  rpcsvchost       0.0  00:00.03 16    2   40+    28K+   0B    2696K+ 16387 1     sleeping *0[1+]      0.00000 0.00000    0   3314+    177+   94+       35+       623+      194+      165+      52+     0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16386  digest-service   0.0  00:00.05 4     2   39+    24K+   0B    2728K+ 16386 1     sleeping *0[1+]      0.00000 0.00000    0   4200+    186+   287+      94+       778+      387+      518+      110+    0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
16379  sh               0.0  00:00.01 1     0   10+    176K+  0B    368K+  16379 4350  sleeping *0[1+]      0.00000 0.00000    501 1087+    246+   39+       19+       413+      61+       45+       11+     0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
16158  com.apple.GSSCre 0.0  00:00.01 3     3   19+    316K+  0B    452K+  16158 1     sleeping *0[1+]      0.00000 0.00000    0   2433+    142+   89+       35+       440+      167+      139+      0       0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15450  QuickLookSatelli 0.0  00:01.51 2     1   62+    3468K+ 0B    5856K+ 15450 1     sleeping *0[4+]      0.00000 0.00000    501 12851+   324+   599+      209+      7449+     1538+     5054+     948+    0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15447  footprint        0.0  02:14.90 1/1   0   320+   98M+   0B    24M+   15447 15281 running  *0[1+]      0.00000 0.00000    0   53420+   98+    90021991+ 45010684+ 77145+    45085011+ 155248+   8+      14      0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15399  ocspd            0.0  00:00.33 2     1   35+    612K+  0B    1268K+ 15399 1     sleeping *0[1+]      0.00000 0.00000    0   5154+    186+   1571+     334+      2095+     3650+     1187+     29+     2       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15398  com.apple.avbloa 0.0  00:00.05 2     2   17+    136K+  0B    1072K+ 15398 1     sleeping *0[38+]     0.00000 0.00000    0   2838+    139+   665+      309+      2898+     757+      1287+     1+      8       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15360  quicklookd       0.0  00:00.27 4     1   88+    660K+  0B    3488K+ 15360 1     sleeping *2+[1+]     0.00000 0.00000    501 9487+    292+   1639+     661+      14972+    2499+     3411+     590+    0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15327  tailspind        0.0  00:00.02 2     2   23+    236K+  0B    716K+  15327 1     sleeping *0[2+]      0.00000 0.00000    0   3253+    173+   123+      53+       524+      227+      187+      8+      2       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15303  mdworker         0.0  00:00.08 4     1   55+    1144K+ 0B    3848K+ 15303 1     sleeping *0[1+]      0.00000 0.00000    501 7745+    223+   556+      232+      3900+     624+      427+      497+    2       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15302  mdworker         0.0  00:00.26 4     1   55+    508K+  0B    5584K+ 15302 1     sleeping *0[1+]      0.00000 0.00000    501 10063+   227+   637+      262+      8998+     748+      824+      1234+   1       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15281  sysdiagnose      0.0  00:00.09 2     1   30+    176K+  0B    1060K+ 15279 15279 sleeping *0[1+]      0.00000 0.00000    0   3798+    170+   202+      77+       1945+     292+      444+      22+     5       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15279  sudo             0.0  00:00.02 1     0   20+    12K+   0B    868K+  15279 15135 sleeping *0[1+]      0.00000 0.00000    0   4631+    257+   130+      61+       1325+     262+      210+      45+     1       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
15164  mdworker         0.0  00:00.12 4     1   55+    1768K+ 0B    3884K+ 15164 1     sleeping *0[1+]      0.00000 0.00000    501 8761+    222+   622+      254+      4452+     714+      753+      85+     4       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15163  mdworker         0.0  00:00.14 4     1   48+    164K+  0B    7124K+ 15163 1     sleeping *0[1+]      0.00000 0.00000    501 13169+   211+   518+      219+      2014+     583+      791+      25+     2       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15135  bash             0.0  00:00.05 1     0   16+    8192B+ 0B    776K+  15135 15134 sleeping *0[1+]      0.00000 0.00000    501 2244+    708+   92+       40+       4602+     133+      330+      12+     0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
15134  login            0.0  00:00.02 2     1   29+    140K+  0B    832K+  15134 850   sleeping *0[9+]      0.00000 0.00000    0   3093+    185+   162+      51+       1199+     257+      152+      1+      1       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
14404  com.apple.iCloud 0.0  00:00.12 2     1   56+    104K+  0B    2760K+ 14404 1     sleeping *0[3+]      0.00000 0.00000    501 8106+    228+   374+      109+      2024+     694+      597+      49+     24      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
13511  bash             0.0  00:00.24 1     0   16+    180K+  0B    640K+  13511 13484 sleeping *0[1+]      0.00000 0.00000    501 5239+    2114+  160+      75+       17351+    146+      1322+     0       0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
13484  bash             0.0  00:00.01 1     0   10+    8192B+ 0B    528K+  13484 13478 sleeping *0[1+]      0.00000 0.00000    501 1427+    491+   63+       31+       592+      75+       96+       0       0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
13478  bash             0.0  00:00.02 1     0   16+    8192B+ 0B    772K+  13478 13477 sleeping *0[1+]      0.00000 0.00000    501 1973+    285+   85+       36+       1328+     159+      63+       16+     0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
13477  login            0.0  00:00.04 2     1   29+    144K+  0B    844K+  13477 850   sleeping *0[9+]      0.00000 0.00000    0   3085+    187+   162+      51+       1383+     259+      294+      8+      0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
13347  mdworker         0.0  00:00.20 3     1   61+    160K+  0B    3900K+ 13347 1     sleeping *0[1+]      0.00000 0.00000    89  9407+    273+   626+      250+      9436+     737+      966+      5+      4       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
13346  mdworker         0.0  00:00.20 3     1   62+    168K+  0B    4096K+ 13346 1     sleeping *0[1+]      0.00000 0.00000    89  9056+    273+   618+      248+      9502+     729+      948+      19+     3       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
13345  mdworker         0.0  00:00.09 3     1   45+    164K+  0B    3040K+ 13345 1     sleeping *0[1+]      0.00000 0.00000    89  7189+    235+   550+      233+      4964+     597+      501+      7+      1       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
11680  mdworker         0.0  00:00.10 3     1   45+    156K+  0B    3076K+ 11680 1     sleeping *0[1+]      0.00000 0.00000    89  7590+    235+   555+      234+      4967+     609+      505+      22+     7       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
11074  com.docker.hyper 0.0  01:21.61 17    1   36+    355M+  0B    296M+  11069 11069 sleeping *0[1+]      0.00000 0.00000    501 401904+  493+   167+      70+       7817903+  203+      2151301+  1329+   37783   0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
