#
# netstat -n -r -a -l
#
Routing tables

Internet:
Destination        Gateway            Flags        Refs      Use    Mtu   Netif Expire
default            172.31.98.1        UGSc          458        0   1500     en0
8.8.4.4            172.31.98.1        UGHWIi          1       27   1500     en0
8.8.8.8            172.31.98.1        UGHWIi          3     1375   1500     en0
8.39.37.21         172.31.98.1        UGHWIi          1      491   1500     en0
8.39.37.33         172.31.98.1        UGHWIi          1       37   1500     en0
8.39.37.45         172.31.98.1        UGHWIi          1      161   1500     en0
17.151.28.5        172.31.98.1        UGHWIi          1       27   1500     en0
17.164.1.22        172.31.98.1        UGHWIi          1       29   1500     en0
17.173.65.114      172.31.98.1        UGHWIi          1       28   1500     en0
17.173.66.102      172.31.98.1        UGHWIi          1       38   1500     en0
17.173.254.222     172.31.98.1        UGHWIi          1        7   1500     en0
17.173.254.223     172.31.98.1        UGHWIi          1        3   1500     en0
17.248.128.172     172.31.98.1        UGHWIi          1       22   1500     en0
17.248.128.173     172.31.98.1        UGHWIi          1       15   1500     en0
17.248.128.242     172.31.98.1        UGHWIi          1       16   1500     en0
17.248.129.171     172.31.98.1        UGHWIi          1       35   1500     en0
17.248.129.172     172.31.98.1        UGHWIi          1       16   1500     en0
17.248.129.177     172.31.98.1        UGHWIi          1       33   1500     en0
17.248.130.200     172.31.98.1        UGHWIi          1       28   1500     en0
17.248.130.234     172.31.98.1        UGHWIi          1       22   1500     en0
17.248.141.46      172.31.98.1        UGHWIi          1       16   1500     en0
17.248.156.76      172.31.98.1        UGHWIi          1       36   1500     en0
17.249.9.246       172.31.98.1        UGHWIi          1       39   1500     en0
17.249.28.13       172.31.98.1        UGHWIi          2       41   1500     en0
17.250.120.48      172.31.98.1        UGHWIi          1       16   1500     en0
17.250.121.8       172.31.98.1        UGHWIi          2       22   1500     en0
17.253.4.125       172.31.98.1        UGHWIi          2       15   1500     en0
17.253.17.201      172.31.98.1        UGHWIi          1    21293   1500     en0
17.253.17.205      172.31.98.1        UGHWIi          1       24   1500     en0
17.253.17.207      172.31.98.1        UGHWIi          1    14274   1500     en0
23.4.21.147        172.31.98.1        UGHWIi          1       94   1500     en0
23.4.21.150        172.31.98.1        UGHWIi          1      674   1500     en0
23.4.23.104        172.31.98.1        UGHWIi          1      186   1500     en0
23.4.28.51         172.31.98.1        UGHWIi          1        9   1500     en0
23.5.208.33        172.31.98.1        UGHWIi          1      575   1500     en0
23.5.209.198       172.31.98.1        UGHWIi          1       86   1500     en0
23.5.214.103       172.31.98.1        UGHWIi          1      708   1500     en0
23.5.215.246       172.31.98.1        UGHWIi          1       31   1500     en0
23.5.251.27        172.31.98.1        UGHWIi          1      439   1500     en0
23.21.213.193      172.31.98.1        UGHWIi          1       29   1500     en0
23.23.111.66       172.31.98.1        UGHWIi          1       38   1500     en0
23.54.240.166      172.31.98.1        UGHWIi          1      106   1500     en0
23.54.240.240      172.31.98.1        UGHWIi          1       86   1500     en0
23.63.227.152      172.31.98.1        UGHWIi          1        9   1500     en0
23.211.235.127     172.31.98.1        UGHWIi          1      161   1500     en0
23.212.17.80       172.31.98.1        UGHWIi          1       58   1500     en0
23.212.24.167      172.31.98.1        UGHWIi          1      188   1500     en0
